MCD,Age10 (kyr),Lithics/gm,IRD (%)
0.01,1.04,0.00,0.00
0.06,1.22,0.00,0.00
0.26,1.96,0.00,0.00
0.66,3.43,69.55,2.14
1.46,6.38,16.14,0.64
1.56,6.75,0.00,0.00
1.66,7.11,0.00,0.00
1.76,7.48,0.00,0.00
1.86,7.85,12.32,0.34
1.96,8.22,0.00,0.00
2.06,8.59,0.00,0.00
2.16,8.96,0.00,0.00
2.36,9.69,0.00,0.00
2.46,10.06,7.13,0.31
2.56,10.43,0.00,0.00
2.66,10.80,14.09,1.75
2.76,11.17,4.74,0.66
2.86,11.53,28.16,2.12
2.96,11.90,113.85,5.92
3.01,12.10,523.50,13.61
3.06,12.35,20.76,1.40
3.16,12.84,34.67,3.56
3.26,13.34,6.20,0.30
3.36,13.84,11.42,1.14
3.46,14.33,12.00,0.93
3.56,14.83,15.85,1.63
3.66,15.32,47.10,4.97
3.76,15.82,170.32,12.46
3.86,16.31,296.51,9.76
3.92,16.61,543.34,36.10
3.96,16.81,609.66,31.56
4.02,17.11,243.39,19.36
4.06,17.31,196.94,20.54
4.21,18.02,308.45,23.84
4.42,18.74,120.00,8.13
4.62,19.41,131.13,9.46
4.82,20.08,453.07,12.14
5.02,20.75,205.63,12.09
5.12,21.09,198.77,10.94
5.32,21.76,9.45,1.28
5.52,22.43,344.05,19.21
5.72,23.10,223.68,12.57
5.92,23.77,116.33,5.94
6.12,24.99,34.26,2.38
6.32,26.75,298.33,19.24
6.52,28.52,653.15,21.27
6.62,29.40,546.34,12.30
6.82,31.16,301.53,11.77
7.02,32.92,77.37,5.41
7.22,34.69,203.00,9.28
7.42,36.45,316.24,8.36
7.62,38.21,1814.74,48.64
7.82,39.97,137.30,2.95
8.02,41.74,137.28,5.51
8.12,42.62,77.68,3.64
8.32,44.38,99.72,6.59
8.52,46.14,109.88,2.85
8.72,47.91,1711.07,29.10
8.92,49.67,185.12,5.00
9.62,55.84,143.14,2.25
9.82,57.60,199.40,5.48
10.02,59.36,316.86,8.45
10.07,59.80,618.91,20.05
10.17,60.69,25.69,0.89
10.22,61.13,85.80,2.34
10.37,62.45,67.18,1.63
10.57,64.21,112.85,6.93
10.77,65.97,2540.60,42.58
10.97,67.74,1169.91,14.61
11.17,70.72,106.55,3.16
11.37,73.91,0.00,0.00
11.42,74.29,0.00,0.00
11.47,74.67,395.41,4.42
11.67,76.20,0.00,0.00
11.87,77.72,12.72,0.67
12.07,79.25,0.00,0.00
12.27,82.46,6.49,0.31
12.47,85.66,0.00,0.00
12.67,88.87,1273.89,5.92
12.82,91.27,40.31,0.32
12.92,92.86,0.00,0.00
12.97,93.65,387.82,0.92
13.07,95.24,0.00,0.00
13.27,98.41,0.00,0.00
13.37,100.00,106.61,0.89
13.57,102.32,677.13,3.22
13.77,104.64,127.12,1.73
13.97,106.96,860.49,13.40
14.14,108.93,68.70,1.27
14.17,109.28,0.00,0.00
14.29,110.67,0.00,0.00
14.37,111.55,0.00,0.00
14.44,112.32,0.00,0.00
14.59,113.95,19.38,0.33
14.74,115.58,0.00,0.00
14.89,117.06,0.00,0.00
15.19,117.97,0.00,0.00
15.39,118.57,0.00,0.00
15.49,118.88,0.00,0.00
15.64,119.34,0.00,0.00
15.94,120.25,6.83,0.30
16.09,120.71,13.82,1.18
16.24,121.16,0.00,0.00
16.39,121.62,0.00,0.00
16.68,122.50,0.00,0.00
16.88,123.20,22.88,0.96
16.99,123.62,25.63,0.97
17.14,124.17,163.19,2.28
17.29,124.72,51.74,2.39
17.44,125.50,961.27,24.84
17.59,127.83,1179.36,63.66
17.68,129.14,150.26,16.03
17.74,129.94,215.80,35.01
17.82,130.31,663.25,21.46
17.90,130.73,36.09,2.66
17.96,131.02,46.26,3.94
18.03,131.36,112.86,5.26
18.10,131.71,181.20,6.31
18.18,132.10,163.79,8.20
18.25,132.45,80.10,5.52
18.32,132.79,68.99,3.45
18.38,133.08,59.18,9.09
18.40,133.18,165.77,16.38
18.44,133.36,190.29,24.30
18.47,133.53,32.33,5.24
18.54,133.87,22.02,1.59
18.61,134.22,28.96,4.65
18.67,134.51,46.61,4.49
18.74,134.85,0.00,0.00
18.81,135.22,0.00,0.00
18.88,135.62,2.93,0.29
18.95,136.03,12.48,1.50
19.02,136.43,13.57,6.02
19.22,137.59,78.71,11.84
19.46,138.98,24.18,3.44
19.60,139.79,58.68,7.34
19.75,140.66,181.64,17.54
19.88,141.41,70.49,5.74
19.90,141.52,87.20,4.29
20.11,142.74,203.47,16.04
20.31,143.90,23.92,2.02
20.52,145.11,26.47,2.96
20.72,146.27,126.30,13.98
20.90,147.31,468.55,25.40
21.10,148.47,169.01,7.47
21.25,149.34,110.42,4.79
21.30,149.63,119.22,2.55
21.38,150.09,277.37,11.56
21.40,150.21,262.38,12.82
21.47,150.61,112.58,3.33
21.50,150.79,74.12,0.71
21.70,151.94,179.14,2.44
22.15,158.95,49.40,1.23
22.20,159.74,44.71,0.89
22.40,162.90,7.05,0.35
22.60,166.05,21.61,0.99
22.80,169.21,419.91,9.33
23.00,172.37,65.89,0.85
23.20,175.53,107.72,3.26
23.40,178.68,50.04,1.31
23.60,181.84,176.05,2.62
23.65,182.31,40.59,0.94
23.70,182.71,77.15,1.93
23.90,184.27,63.96,1.39
24.10,185.84,65.85,1.27
24.30,187.40,47.41,1.85
24.32,187.56,8.02,0.34
24.42,188.34,33.52,2.05
24.50,188.97,12.23,0.30
