depth,age_ka,d13C,d18O
0.01,1.04,1.1,2.63
0.06,1.22,0.96,2.73
0.26,1.96,0.9,2.72
0.46,2.69,0.87,2.47
0.66,3.43,0.88,2.5
0.86,4.17,1.28,2.59
1.06,4.9,0.54,2.6
1.26,5.64,1.04,2.52
1.46,6.38,1.22,2.69
1.51,6.56,1.02,2.7
1.56,6.75,1.19,2.69
1.76,7.48,1.04,2.7
1.96,8.22,0.88,2.69
2.16,8.96,1,2.78
2.46,10.06,1.01,2.77
2.96,11.9,0.61,2.9
3.01,12.1,0.94,3.36
3.06,12.35,0.77,3.53
3.26,13.34,0.77,3.37
3.46,14.33,0.88,3.53
3.66,15.32,0.4,3.66
3.86,16.31,0.35,3.81
3.92,16.61,0.36,3.72
4.02,17.11,0.8,4.63
4.21,18.02,0.85,4.6
4.42,18.74,0.82,4.61
4.62,19.41,0.89,4.5
4.82,20.08,0.82,4.43
5.02,20.75,0.74,4.46
5.32,21.76,0.63,4.5
5.92,23.77,0.99,4.13
6.12,24.99,0.76,4.29
6.32,26.75,0.66,3.91
6.52,28.52,0.93,4.03
6.62,29.4,0.84,4.11
6.82,31.16,1.04,4.03
7.02,32.92,1.08,4.24
7.22,34.69,0.84,4.08
7.42,36.45,0.78,3.98
7.62,38.21,0.59,3.65
7.82,39.97,0.93,4.01
8.02,41.74,1.08,4.1
8.12,42.62,0.8,3.88
8.52,46.14,0.89,3.87
8.92,49.67,0.94,3.8
9.12,51.43,1.1,4.01
9.32,53.19,1.11,3.83
9.52,54.96,0.91,3.88
9.62,55.84,1.1,3.87
9.82,57.6,0.91,3.76
10.02,59.36,0.9,3.75
10.22,61.13,0.51,4.01
10.37,62.45,0.87,3.93
10.57,64.21,0.73,3.73
10.77,65.97,0.3,3.67
10.97,67.74,0.83,4.19
11.17,70.72,1.01,3.74
11.37,73.91,0.88,3.77
11.42,74.29,1.09,3.65
11.47,74.67,0.99,3.44
11.67,76.2,1.16,3.34
11.87,77.72,1.26,3.31
12.07,79.25,1.11,3.26
12.27,82.46,1.17,3.23
12.47,85.66,0.93,3.18
12.67,88.87,1.18,3.9
12.82,91.27,1.15,3.51
12.92,92.86,1.29,3.76
12.97,93.65,1.24,3.66
13.07,95.24,1.21,3.49
13.27,98.41,1.2,3.36
13.37,100,1.14,3.28
13.57,102.32,0.98,3.36
13.77,104.64,0.88,3.59
13.97,106.96,0.92,3.54
14.14,108.93,0.95,3.54
14.18,109.34,1.01,3.7
14.29,110.67,0.9,3.58
14.33,111.06,0.76,3.3
14.44,112.32,1.02,3.39
14.59,113.95,1.03,3.4
14.74,115.58,0.74,2.57
14.89,117.06,0.86,2.96
15.19,117.97,0.2,2.79
15.64,119.34,0.73,2.72
15.94,120.25,0.59,2.56
16.09,120.71,0.94,2.65
16.24,121.16,0.82,2.49
16.39,121.62,0.58,2.47
16.68,122.5,0.91,2.54
16.88,123.2,0.88,2.51
16.99,123.62,0.59,2.51
17.14,124.17,0.7,2.44
17.29,124.72,0.18,2.48
17.44,125.5,0.32,2.58
17.59,127.83,0.34,3.49
17.74,129.94,0.56,3.98
17.9,130.72,0.79,4.31
18.1,131.71,0.39,4.54
18.25,132.45,0.33,4.55
18.4,133.18,0.52,4.47
18.47,133.53,0.6,4.34
18.61,134.22,0.8,4.53
18.81,135.22,0.14,4.71
19.22,137.59,0.64,4.6
19.46,138.98,0.44,4.62
19.6,139.79,0.84,4.35
19.75,140.66,0.72,4.37
19.88,141.41,0.82,4.46
19.9,141.52,0.47,4.53
20.11,142.74,0.58,4.43
20.31,143.9,0.43,4.28
20.51,145.05,0.7,4.34
20.72,146.27,-0.11,3.84
20.9,147.31,0.1,3.92
21.1,148.47,0.24,3.99
21.25,149.34,0.6,4.2
21.38,150.09,0.53,4.05
21.4,150.21,0.26,4.1
21.5,150.78,0.86,4.25
21.7,151.94,0.79,4.38
21.9,155,0.78,4.26
22.1,158.16,0.78,4.08
22.15,158.95,0.71,4.06
22.2,159.74,0.89,3.92
22.4,162.89,0.72,4.05
22.6,166.05,0.66,3.81
22.8,169.21,0.28,3.9
23,172.37,0.61,4.14
23.2,175.53,0.37,3.91
23.4,178.68,0.63,4.04
23.6,181.84,0.41,4.29
23.65,182.31,0.6,4.22
23.7,182.7,0.46,4.11
23.9,184.27,0.58,4.2
24.1,185.84,0.52,4.09
24.3,187.4,0.28,3.99
24.5,188.97,0.38,3.43
24.62,189.91,0.26,3.33
24.82,191.48,0.49,3.29
25.02,193.04,1.09,3.16
25.22,194.61,0.71,3.05
25.27,195,0.88,2.82
25.32,196.11,0.78,2.94
25.52,200.56,0.82,2.9
25.72,205,1,3.17
26.32,209.22,0.76,2.94
26.72,212.03,1.05,3.06
26.77,212.38,0.75,2.92
26.82,212.73,0.97,2.96
27.02,214.13,0.57,2.96
27.22,215.54,0.75,2.77
27.42,217.91,0.34,2.93
27.82,222.66,0,3.61
28.02,225.03,0.53,4.12
28.22,227.41,0.16,3.71
28.27,228,0.79,3.83
28.32,228.31,0.24,3.81
28.52,229.56,0.39,3.73
28.72,230.81,0.45,3.88
29.02,232.69,0.96,3.56
29.12,233.31,0.92,3.84
29.22,233.94,0.9,3.43
29.32,234.56,0.81,3
29.42,235.19,0.81,3.16
29.62,236.44,0.44,3.03
29.72,237.06,0.7,2.98
29.77,237.38,0.85,3.04
29.82,237.69,0.91,2.92
30.02,238.94,0.89,2.91
30.22,240.19,0.72,2.73
30.42,241.67,0.1,2.78
30.52,242.41,0.48,2.67
30.82,244.63,0.58,3.65
31.27,247.97,0.24,3.74
31.32,248.34,0.1,4
31.42,249.08,0.43,3.69
31.63,250.63,0.97,3.75
31.73,251.37,0.53,4.02
31.83,252.11,0.59,4
31.93,252.85,0.59,4.06
32.13,254.34,0.18,4.17
32.33,255.82,0.45,4.11
32.43,256.56,0.78,4
32.53,257.3,0.2,4.07
32.63,258.04,0.81,3.51
33.83,266.93,0.36,3.95
34.03,268.41,0.24,3.87
34.08,268.78,0.38,3.65
34.13,269.15,0.34,3.78
34.33,270.63,0.49,3.93
34.68,273.22,0.45,3.6
35.08,275.69,0.48,4.04
35.48,277.41,0.19,3.96
35.68,278.27,0.24,3.86
35.73,278.48,0.28,3.73
35.78,278.7,-0.01,3.58
35.98,279.55,-0.35,3.8
36.18,280.41,0.36,3.88
36.38,281.27,0.6,3.86
36.58,282.13,0.42,3.78
36.78,282.99,0.91,3.43
36.98,283.85,1.02,3.54
37.18,284.71,0.97,3.38
37.23,284.93,0.79,3.43
37.28,285.14,0.61,3.25
37.48,286,0.71,3.33
37.68,288.2,0.94,3.29
37.88,290.4,0.61,3.23
38.08,292.6,0.2,3.58
38.28,294.8,0.47,3.53
38.48,297,0.21,4.09
38.68,299.1,0.28,3.92
38.73,299.63,0.51,3.86
38.78,300.15,0.36,3.9
38.98,302.25,0.7,3.84
39.18,304.35,0.31,3.73
39.38,306.45,0.88,3.52
39.58,308.55,0.79,3.52
39.78,310.65,0.68,3.43
39.98,312.75,0.18,3.44
40.18,314.85,0.43,3.29
40.23,315.38,0.73,3.32
40.28,315.9,0.74,3.24
40.48,318,0.36,3.48
40.68,318.66,0.92,3.6
40.88,319.32,0.9,3.53
41.08,319.99,0.9,3.45
41.28,320.65,0.78,3.24
41.41,321.08,0.83,3.16
41.61,321.74,0.46,3.05
41.66,321.9,0.77,3.31
41.71,322.07,0.3,3.08
41.91,322.73,0.93,3.21
42.11,323.39,0.26,3.06
42.31,324.06,0.45,2.99
42.51,324.72,0.67,2.84
42.61,325.05,0.93,2.66
42.71,325.38,0.61,2.75
42.81,325.71,0.76,2.54
42.91,326.04,0.69,2.68
43.01,326.37,0.89,2.56
43.11,326.7,0.79,2.63
43.16,326.87,0.83,2.61
43.21,327.09,0.69,2.61
43.31,327.94,0.73,2.63
43.61,330.49,0.58,3.39
43.81,332.19,0.78,4.04
44.11,334.74,0.31,3.25
44.21,335.6,-0.25,3.15
44.31,336.45,-0.49,3.27
44.41,337.3,0.09,4.23
44.51,338.15,0.46,4.45
44.61,339,0.19,4.58
44.71,339.49,0.14,4.4
44.81,339.98,0.44,4.42
44.91,340.47,0.52,4.57
45.01,340.95,0.48,4.52
45.04,341.1,0.25,4.54
45.24,342.08,0.46,4.61
45.44,343.06,0.59,4.18
45.64,344.03,0.4,4.3
45.84,345.01,0.66,4.33
45.89,345.26,0.38,4.18
45.94,345.5,-0.04,4.27
46.14,346.48,0.36,4.3
46.34,347.45,0.46,3.88
46.54,348.43,-0.57,4.03
46.74,349.41,-0.05,3.88
46.94,350.39,0.32,4.08
46.99,350.61,0.47,4.05
47.02,350.75,0.66,4.18
47.07,351,0.47,4.08
47.12,351.24,0.58,4.09
47.14,351.36,0.63,3.99
47.17,351.49,0.51,3.97
47.19,351.58,0.62,4.12
47.22,351.73,0.5,3.93
47.27,351.98,0.61,4.02
47.35,352.55,0.92,4.13
47.37,352.65,0.71,4.11
47.44,353.16,0.95,3.28
47.47,353.33,0.92,3.93
47.49,353.47,0.48,3.88
47.62,354.36,0.94,4.06
47.64,354.53,0.58,3.87
47.67,354.7,0.8,3.88
47.69,354.84,0.89,4.13
