sample_id,depth,age_ka,d13C,d18O,ird_percent,ird_lithics_gm
"162-980C-8H-5,-2",65.57,515.87,1.12,3.73,,
"162-980C-8H-5,3-4",65.6,516.24,1.42,3.56,2.42,264.46
"162-980C-8H-5,5-7",65.62,516.49,1.36,3.74,,
"162-980C-8H-5,8-9",65.65,516.86,1.14,3.49,0.86,199.38
"162-980C-8H-5,10-11",65.67,517.1,1.42,3.69,,
"162-980C-8H-5,13-14",65.7,517.47,1.22,3.74,0,0
"162-980C-8H-5,15-17",65.72,517.72,0.95,3.72,,
"162-980C-8H-5,18-19",65.75,518.09,1.43,3.75,0,0
"162-980C-8H-5,20-22",65.77,518.33,1.25,3.34,,
"162-980C-8H-5,23-24",65.8,518.7,1.03,3.84,0,0
"162-980C-8H-5,28-29",65.85,519.32,,,0,0
"162-980C-8H-5,30-31",65.87,519.57,1.44,3.72,,
"162-980C-8H-5,33-34",65.9,519.94,1.32,3.61,0,0
"162-980C-8H-5,38-39",65.95,520.55,,,0,0
"162-980C-8H-5,40-42",65.97,520.8,1.28,3.36,,
"162-980C-8H-5,43-44",66,521.17,1.31,3.52,0,0
"162-980C-8H-5,45-47",66.02,521.41,1.2,3.47,,
"162-980C-8H-5,48-49",66.05,521.78,,,0,0
"162-980C-8H-5,50-51",66.07,522.03,1.13,3.36,,
"162-980C-8H-5,53-54",66.1,522.4,0.98,3.34,0.28,21.75
"162-980C-8H-5,55-57",66.12,522.65,1.26,3.46,,
"162-980C-8H-5,58-59",66.15,523.01,1.37,3.77,0.13,9.66
"162-980C-8H-5,60-62",66.17,523.26,1.1,3.15,,
"162-980C-8H-5,63-64",66.2,523.63,,,0.35,25.47
"162-980C-8H-5,65-67",66.22,523.88,1.3,3.37,,
"162-980C-8H-5,68-69",66.25,524.25,1.05,2.73,0,0
"162-980C-8H-5,70-71",66.27,524.49,1.18,3.33,,
"162-980C-8H-5,73-74",66.3,524.86,,,0.28,34.48
"162-980C-8H-5,78-79",66.35,525.48,,,0.57,70.85
"162-980C-8H-5,80-82",66.37,525.73,0.7,2.7,,
"162-980C-8H-5,83-84",66.4,526.06,,,0.24,20.3
